Date,Day,Images_count,Songs,Uploaded,ID
2023-03-18,,,"'wake-up-to-the-renaissance-135540.mp3', 'price-of-freedom-33106.mp3', 'goldn-116392.mp3', 'a-small-miracle-132333.mp3', 'lo-fi-chillhop-beat-background-music-133473.mp3'",2023-04-30,u-52i872-k4
2023-03-19,,,"'abstract-style-121455.mp3', 'mountain-path-125573.mp3', 'space-120280.mp3', 'relaxed-vlog-night-street-131746.mp3', 'a-small-miracle-132333.mp3', 'the-weekend-117427.mp3'",2023-04-30,PHvpnyhAPWo
2023-03-20,,,"'relaxed-vlog-night-street-131746.mp3', 'wake-up-to-the-renaissance-135540.mp3', 'the-weekend-117427.mp3', 'epicaly-113907.mp3', 'lady-of-the-80x27s-128379.mp3'",2023-05-03,P9VwqZYg-Dw
2023-03-21,,,"'drop-it-124014.mp3', 'weeknds-122592.mp3', 'lofi-study-112191.mp3', 'wake-up-to-the-renaissance-135540.mp3', 'abstract-style-121455.mp3', 'password-infinity-123276.mp3'",2023-05-03,Svc212Xghek
2023-03-22,,,"'space-120280.mp3', 'drop-it-124014.mp3', 'tuesday-glitch-soft-hip-hop-118327.mp3', 'energetic-funky-groove-138634.mp3', 'password-infinity-123276.mp3', 'abstract-world-127012.mp3'",2023-05-03,0Vh0KuA_Uoo
2023-03-23,,,"'lifelike-126735.mp3', 'energetic-funky-groove-138634.mp3', 'passion-127011.mp3', 'midnight-138704.mp3', 'mountain-path-125573.mp3'",2023-05-03,r3IOblkc6ic
2023-03-24,,,"'electronic-future-beats-117997.mp3', 'a-small-miracle-132333.mp3', 'abstract-style-121455.mp3', 'midnight-138704.mp3', 'happy-day-113985.mp3', 'lofi-study-112191.mp3'",2023-05-03,bQia87BI_uw
2023-03-25,,1440.0,"passion-127011.mp3,sedative-110241.mp3,lifelike-126735.mp3,abstract-style-121455.mp3,epicaly-113907.mp3,wake-up-to-the-renaissance-135540.mp3",2023-05-03,ImN3FsJb_Ws
2023-03-26,,1440.0,"lofi-study-112191.mp3,tuesday-glitch-soft-hip-hop-118327.mp3,epicaly-113907.mp3,the-beat-of-nature-122841.mp3,relaxed-vlog-night-street-131746.mp3,leonell-cassio-the-blackest-bouquet-118766.mp3",2023-05-03,BABeyr9Bt2Y
2023-03-27,,1440.0,"aesthetics-138637.mp3,energetic-funky-groove-138634.mp3,tuesday-glitch-soft-hip-hop-118327.mp3,a-small-miracle-132333.mp3,happy-day-113985.mp3,mountain-path-125573.mp3",2023-05-03,kAAtM_wqD7Y
2023-04-02,,6.0,slomo-135807.mp3,2023-05-03,SEIwtwnafDQ
2023-03-28,,1008.0,"price-of-freedom-33106.mp3,easy-lifestyle-137766.mp3,epicaly-113907.mp3",2023-05-03,xz0YjGONtQU
2023-03-29,,28.0,drop-it-124014.mp3,2023-05-03,Lw5L3rwEQ_o
2023-03-31,,104.0,midnight-138704.mp3,2023-05-03,WlEZ8RDrqSA
2023-04-03,,1112.0,"slomo-135807.mp3,the-cradle-of-your-soul-15700.mp3,lo-fi-chillhop-beat-background-music-133473.mp3,itx27s-time-to-get-up-138523.mp3",2023-05-04,Lz4da6hkD6Q
2023-04-08,,618.0,"abstract-style-121455.mp3,slomo-135807.mp3,the-beat-of-nature-122841.mp3",2023-05-04,EVth6orFcoA
2023-04-09,,952.0,"slomo-135807.mp3,cinematic-documentary-115669.mp3,lofi-study-112191.mp3,the-cradle-of-your-soul-15700.mp3",2023-05-04,wNI9qfdkaGg
2023-04-13,,156.0,energetic-funky-groove-138634.mp3,2023-05-04,qZMnmLWBVQM
